region_id,Sales_Region
0,East Dianeport
1,North Linda
2,Lake Josephmouth
3,Michealshire
4,Joelmouth
5,Lake Ericashire
6,South Lauren
7,East Julie
8,South Brandon
9,Michaelview
10,Cannonton
11,East Ryanchester
12,Danielfort
13,New Danielmouth
14,North Williammouth
15,Jeremiahtown
16,Lake Brendaport
17,West Beverlyport
18,Ayalaberg
19,East Kristenland
20,Phillipville
21,Leslietown
22,Lake Catherinehaven
23,New Ryan
24,Palmerview
25,Donmouth
26,Brandyburgh
27,West Grace
28,Lake Monica
29,Hamiltonmouth
30,Leeburgh
31,Stephenburgh
32,West Christopherport
33,Tylerview
34,South John
35,Whitemouth
36,North Garrettview
37,Leemouth
38,South Derekstad
39,Jessicamouth
40,Johnburgh
41,Samueltown
42,South Joseph
43,Stevenland
44,Scottland
45,North Jenniferberg
46,Sarahview
47,South Jesus
48,North Allisonville
49,Walkerland
50,Bensonmouth
51,Lynnport
52,South Johnside
53,Port Michelleborough
54,Mccarthytown
55,Peterchester
56,Austinview
57,New Christopher
58,West Shelly
59,West Kathleenhaven
60,Adamsshire
61,East Meganstad
62,South Stevenview
63,Hillstad
64,Campbellburgh
65,Riddleburgh
66,South Gregory
67,Carlyberg
68,North Deborah
69,South Madisonville
70,New Jon
71,Mossfurt
72,Stevenville
73,Downsside
74,Josephton
75,Butlermouth
76,Port Toddshire
77,South David
78,East Corey
79,Campbellfurt
80,New Tiffanyton
81,Edwardsberg
82,Millschester
83,Deniseberg
84,Piercestad
85,Lake Jenna
86,East Jasonstad
87,South Hectorfurt
88,Ashleystad
89,Kimmouth
90,Garciafort
91,Aliciaville
92,South Bernardmouth
93,South Kelliberg
94,New Nicolemouth
95,East Molly
96,Michaelberg
97,Brownborough
98,Loganburgh
99,Brittanyville
100,East Katherinehaven
101,Port Gregory
102,East Vincent
103,Hollandshire
104,Greeneburgh
105,Huntmouth
106,Port Joseberg
107,Blackport
108,Port Jessicaport
109,Port Scott
110,Lake Jenniferburgh
111,New Rodneyside
112,South Meganfurt
113,Lake Jasonchester
114,Port Alyssa
115,East Kelsey
116,New Ambershire
117,Sarahmouth
118,Johnsonburgh
119,Sharonside
120,South Davebury
121,Patriciamouth
122,West Elizabeth
123,East Gregory
124,Woodsshire
125,Johnside
126,Jonesland
127,West Brittany
128,Lake Davidstad
129,West Ashleychester
130,Port Darrell
131,West Matthew
132,North Susan
133,East Laurenfort
134,Patrickland
135,Spencerview
136,South Jessica
137,Justinshire
138,Mortonstad
139,Sarahtown
140,Barryside
141,South Samuelhaven
142,North Jason
143,West Dennis
144,Simpsonview
145,Patriciashire
146,Wattsfurt
147,Jonathanstad
148,West Michael
149,Gregorymouth
150,North Michellefort
151,Gallegoshaven
152,Chelseachester
153,Sherimouth
154,Carlosmouth
155,Phillipsfurt
156,Webbberg
157,North Margaretland
158,Port Evan
159,North Angelaport
160,West Cynthia
161,Howardburgh
162,Williamsmouth
163,South Shawn
164,South Ronaldhaven
165,West Darrell
166,South Sarah
167,Allenhaven
168,Garciaview
169,Joannaside
170,South Matthewbury
171,Kylemouth
172,North Philipport
173,Port Travis
174,Ronaldburgh
175,Ginaton
176,East Matthew
177,Ronnieport
178,Emilyland
179,Andreamouth
180,East Susanchester
181,Hallport
182,Port Clintonfurt
183,North Mark
184,Lake Charlesville
185,West Julie
186,East Christophermouth
187,Joshuahaven
188,New Karenbury
189,Port Sharon
190,Kristinside
191,Jenniferburgh
192,Jacobstown
193,West Gabriel
194,North Sherriton
195,West Jasonport
196,North Kimberly
197,Sanchezmouth
198,Donaldbury
199,Lake Lauramouth
200,Harveyshire
201,Hollandmouth
202,Williamton
203,New Beth
204,West John
